rsu_id,rsu_position_x,rsu_position_y,vehicle_id,vehicle_type,speed,edge_id,lane_id,lane_position,vehicles_ahead_count,same_direction_ahead,distance_to_traffic_light,next_traffic_light,traffic_light_state,time_to_red_light,edge_occupancy_percentage,battery_charge,battery_capacity,battery_percentage,sim_time,position,rsu_position,collection_timestamp
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.829302086820826,E3,E3_0,1283.8537253670213,0,0,606.4,J1,rrrGGGrr,50.0,6.75,1344.8,3000.0,44.82666666666667,105.0,"(-206.92131403213043, 85.48159548254296)","(-194.59, 27.16)",2025-12-01T20:48:02Z
RSU_Dhormotola,-194.59,27.16,R2_Easybike_ER-02B,EV,11.465003928667084,E3,E3_0,868.1460793883109,3,2,1022.1,J1,rrrGGGrr,50.0,6.75,1401.42,3000.0,46.714,105.0,"(-211.17233969857585, 118.5925331100662)","(-194.59, 27.16)",2025-12-01T20:48:02Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.642045846418478,E3,E3_0,1190.3788169355364,1,1,699.9,J1,rrrGGGrr,45.0,7.54,17354.17,35000.0,49.58334285714285,110.0,"(-207.8771882835538, 92.9268322799721)","(-194.59, 27.16)",2025-12-01T20:48:11Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.646609370340594,E3,E3_0,1351.851558888127,0,0,538.4,J1,rrrGGGrr,45.0,7.54,1340.52,3000.0,44.684000000000005,110.0,"(-206.22596830453293, 80.06559689241996)","(-194.59, 27.16)",2025-12-01T20:48:11Z
RSU_Dhormotola,-194.59,27.16,R2_Easybike_ER-02B,EV,11.076277796909363,E3,E3_0,924.3740793759,3,2,965.9,J1,rrrGGGrr,45.0,7.54,1399.54,3000.0,46.65133333333333,110.0,"(-210.5973522682692, 114.11399676723265)","(-194.59, 27.16)",2025-12-01T20:48:11Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.612044070940465,E3,E3_0,1258.4869085024814,1,1,631.8,J1,rrrGGGrr,40.0,7.94,17348.76,35000.0,49.56788571428571,115.0,"(-207.1807150573709, 87.50205168327783)","(-194.59, 27.16)",2025-12-01T20:48:19Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.658145169937052,E3,E3_0,1420.1379313647342,0,0,470.1,J1,rrrGGGrr,40.0,7.94,1334.84,3000.0,44.49466666666667,115.0,"(-205.52767197807717, 74.62661629691137)","(-194.59, 27.16)",2025-12-01T20:48:19Z
RSU_Dhormotola,-194.59,27.16,R2_Easybike_ER-02B,EV,11.335193291803972,E3,E3_0,980.4643367846222,3,2,909.8,J1,rrrGGGrr,40.0,7.94,1393.91,3000.0,46.46366666666667,115.0,"(-210.02377339333498, 109.646431562365)","(-194.59, 27.16)",2025-12-01T20:48:19Z
RSU_Dhormotola,-194.59,27.16,R3_Easybike_ER-02B,EV,13.825145766348578,E3,E3_1,858.4538046301319,5,1,1031.8,J1,rrrGGGrr,40.0,7.94,1382.85,3000.0,46.095,115.0,"(-208.09691147261424, 119.77451868235782)","(-194.59, 27.16)",2025-12-01T20:48:19Z
RSU_Dhormotola,-194.59,27.16,R1_Default_EV,EV,13.411479027452879,E3,E3_0,1326.3093119911625,1,1,564.0,J1,rrrGGGrr,35.0,8.73,17344.59,35000.0,49.555971428571425,120.0,"(-206.48716327698057, 82.10002602080675)","(-194.59, 27.16)",2025-12-01T20:48:27Z
RSU_Dhormotola,-194.59,27.16,R1_Easybike_ER-02B,EV,13.540298122889363,E3,E3_0,1487.9441182921007,0,0,402.3,J1,rrrGGGrr,35.0,8.73,1330.14,3000.0,44.33800000000001,120.0,"(-204.8342860282147, 69.22588227666871)","(-194.59, 27.16)",2025-12-01T20:48:27Z
RSU_Dhormotola,-194.59,27.16,R2_Default_EV,EV,12.920560074014723,E3,E3_1,890.7414599899307,6,2,999.5,J1,rrrGGGrr,35.0,8.73,17389.58,35000.0,49.68451428571429,120.0,"(-207.7665671560799, 117.20282063181965)","(-194.59, 27.16)",2025-12-01T20:48:27Z
