id,ts_utc,rsu_id,rsu_position_x,rsu_position_y,vehicle_id,speed,battery_charge,battery_capacity,battery_percentage,sim_time,collection_timestamp,rsu_received_at
125,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_5_Easybike_ER-02B,5.225346939172596,1491.46,3000.0,49.715333333333334,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
126,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_5_Electric_Rickshaw_V8,0.0,1250.0,2500.0,50.0,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
127,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_5_Small_Easybike_V12,2.380936488509178,998.16,2000.0,49.907999999999994,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
128,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Easybike_ER-02B,8.168932756142874,1474.06,3000.0,49.13533333333333,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
129,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Electric_Rickshaw_V8,7.333250470431522,1232.63,2500.0,49.305200000000006,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
130,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Small_Easybike_V12,7.577218079562299,979.69,2000.0,48.984500000000004,31.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
35,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Easybike_ER-02B,13.63976163007319,1417.23,3000.0,47.241,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
36,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Electric_Rickshaw_V8,7.776233397629112,1220.76,2500.0,48.830400000000004,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
37,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Small_Easybike_V12,7.520423768525943,969.76,2000.0,48.488,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
38,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Easybike_ER-02B,7.4611747691783705,1472.18,3000.0,49.07266666666667,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
39,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Electric_Rickshaw_V8,7.756955837686546,1226.9,2500.0,49.076,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
40,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Small_Easybike_V12,7.307286129770801,976.38,2000.0,48.819,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
41,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Easybike_ER-02B,11.038587371401258,1441.4,3000.0,48.046666666666674,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
42,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Electric_Rickshaw_V8,7.713498821803369,1220.84,2500.0,48.8336,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
43,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Small_Easybike_V12,7.584775088443421,969.42,2000.0,48.471,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
44,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_9_Easybike_ER-02B,8.483534053404526,1474.63,3000.0,49.15433333333334,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
45,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_9_Electric_Rickshaw_V8,6.251260680379346,1237.87,2500.0,49.5148,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
46,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_9_Small_Easybike_V12,7.697246487573721,980.69,2000.0,49.0345,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
67,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Easybike_ER-02B,13.64000497313682,1417.0,3000.0,47.233333333333334,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
68,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Electric_Rickshaw_V8,7.53509951193817,1221.43,2500.0,48.8572,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
69,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Small_Easybike_V12,7.449579181005247,969.52,2000.0,48.476,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
131,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Easybike_ER-02B,13.708295619441197,1416.09,3000.0,47.202999999999996,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
132,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Electric_Rickshaw_V8,7.664896046831273,1220.93,2500.0,48.8372,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
133,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Small_Easybike_V12,7.673042692099698,969.27,2000.0,48.463499999999996,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
134,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Easybike_ER-02B,13.87425120510161,1414.79,3000.0,47.159666666666666,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
135,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Electric_Rickshaw_V8,7.544006444602274,1221.39,2500.0,48.8556,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
136,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Small_Easybike_V12,7.507805963600986,969.65,2000.0,48.4825,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
137,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Easybike_ER-02B,12.656295675473892,1438.15,3000.0,47.93833333333334,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
138,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Electric_Rickshaw_V8,7.456195491221734,1227.46,2500.0,49.098400000000005,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
139,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_3_Small_Easybike_V12,7.727080846410245,974.44,2000.0,48.722,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
140,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_5_Easybike_ER-02B,12.205803181859665,1453.0,3000.0,48.43333333333334,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
141,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_5_Electric_Rickshaw_V8,7.052128929848662,1234.45,2500.0,49.378,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
142,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_5_Small_Easybike_V12,7.707072379970923,980.09,2000.0,49.0045,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
143,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Easybike_ER-02B,7.533822207841595,1471.66,3000.0,49.05533333333334,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
144,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Electric_Rickshaw_V8,7.640620679566637,1226.6,2500.0,49.06399999999999,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
145,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_6_Small_Easybike_V12,7.416750953621231,975.46,2000.0,48.772999999999996,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
311,2025-11-15T23:35:52Z,RSU_Palbari,-218.7,214.9,t_Default_EV,3.722056093509309,17495.62,35000.0,49.98748571428571,41.0,2025-11-15T23:35:51Z,2025-11-15T23:35:52Z
47,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Easybike_ER-02B,13.70720332346391,1405.53,3000.0,46.851,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
48,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Electric_Rickshaw_V8,7.3614636187860745,1217.62,2500.0,48.7048,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
49,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Small_Easybike_V12,7.427480086074211,965.26,2000.0,48.263,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
50,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Easybike_ER-02B,7.496951210388019,1467.11,3000.0,48.90366666666666,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
51,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Electric_Rickshaw_V8,7.492569447001443,1223.1,2500.0,48.92399999999999,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
52,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_12_Small_Easybike_V12,7.746258984175511,969.76,2000.0,48.488,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
53,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Easybike_ER-02B,11.269612046239667,1431.61,3000.0,47.72033333333333,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
54,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Electric_Rickshaw_V8,7.625943796797656,1216.23,2500.0,48.6492,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
55,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Small_Easybike_V12,7.601950998390094,964.49,2000.0,48.2245,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
56,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_9_Easybike_ER-02B,7.59733303822053,1473.04,3000.0,49.10133333333333,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
205,2025-11-15T23:35:52Z,RSU_Doratana,-44.04,49.98,t_9_Electric_Rickshaw_V8,7.410870274850168,1228.86,2500.0,49.154399999999995,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:52Z
206,2025-11-15T23:35:52Z,RSU_Doratana,-44.04,49.98,t_9_Small_Easybike_V12,7.373809267506004,977.08,2000.0,48.854000000000006,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:52Z
70,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Easybike_ER-02B,13.851436546514742,1404.13,3000.0,46.80433333333334,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
71,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Electric_Rickshaw_V8,7.598775682360865,1216.38,2500.0,48.6552,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
72,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Small_Easybike_V12,7.53251780601684,964.33,2000.0,48.2165,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
312,2025-11-15T23:35:52Z,RSU_Palbari,-218.7,214.9,t_1_Easybike_ER-02B,13.615176579775289,1405.47,3000.0,46.849000000000004,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:52Z
313,2025-11-15T23:35:52Z,RSU_Palbari,-218.7,214.9,t_1_Electric_Rickshaw_V8,7.761439791736193,1215.66,2500.0,48.626400000000004,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:52Z
314,2025-11-15T23:35:52Z,RSU_Palbari,-218.7,214.9,t_1_Small_Easybike_V12,7.54309955061879,964.91,2000.0,48.2455,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:52Z
315,2025-11-15T23:35:52Z,RSU_Palbari,-218.7,214.9,t_2_Easybike_ER-02B,13.573374362057075,1405.53,3000.0,46.851,51.0,2025-11-15T23:35:51Z,2025-11-15T23:35:52Z
